,Country Name,Time,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Age dependency ratio (% of working-age population) [SP.POP.DPND],"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]","Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",Life expectancy at birth (years)
116,Nepal,2016,NPL,90.7,726.0136168,61.09040443,25,45.45298004,2.027,0.822288228,3.147941787,729.66143,770,19.68876384,0.473845878,88.34640596,88.10736003,89.36934109,64.93630352,42.7,18.63459003,89.94999695,10.05000019,Medium
118,New Zealand,2016,NZL,100,33154.32781,53.39707992,4.6,3745.216309,1.87,32.84852868,37.77419829,37319.28612,39410,88.47018635,0.018237049,99.99999869,100,100,100,13,6430.154266,14.34599972,85.65399933,High
124,Oman,2016,OMN,100,10187.28897,31.92021559,10.5,645.1182251,2.937,6.354835519,9.432849789,16692.256,16100,76.84539047,0.064319585,91.75999743,77.9,94.7,100,38.4,127.9240868,4.369999886,95.62999725,High
125,Pakistan,2016,PAK,71.41359711,1371.475045,66.70480306,34.9,41.0112114,3.612,0.806754449,1.524527021,1117.517555,1420,12.38544676,0.56488114,91.1401418,89.35906865,94.27454357,76.17757496,58.8,31.66569761,76.02100372,23.97900009,Low
126,Panama,2016,PAN,96.81897736,11850.0243,54.63045491,15.6,1040.400879,2.514,10.64955891,16.17050748,11108.5907,12390,54,0.143682263,95.97945203,91.69140512,98.08889267,91.43779786,28.7,510.2700518,33.33100128,66.66899872,High
129,Peru,2016,PER,94.2,5078.820324,53.04037657,20.3,309.9621887,2.297,6.857530252,9.941346501,6262.368905,6110,45.46174069,0.218255796,90.58556948,74.15546585,95.34493984,79.43953623,31.9,72.52789495,60.41500092,39.58499908,High
130,Philippines,2016,PHL,92.31915283,3249.304789,57.93943796,25.2,130.0459595,2.718,2.879936428,3.648295178,2743.198363,3570,55.5,0.35384476,93.07371231,89.31758965,97.39961819,77.99708146,17.5,40.5348333,42.14500046,57.85499954,Medium
127,Papua New Guinea,2016,PNG,49.4,1730.243775,66.04975013,36.1,59.84069824,3.657,0.205518486,1.861755694,2448.861248,2700,9.601538462,0.553796019,40.73221696,34.00456779,85.55743716,48.66761587,48.4,14.8698705,88.18199921,11.81799984,Low
131,Poland,2016,POL,100,10418.9751,45.18606812,5,813.4727783,1.39,19.28946685,21.43540983,15101.56195,12710,73.3007041,0.003477065,99.38384893,98.84516129,99.74032258,98.24067572,26.3,2492.488363,16.82099915,83.17900085,High
87,"Korea, Dem. People's Rep.",2016,PRK,41.71841049,..,43.61667421,9.5,..,1.917,..,4.662619013,..,..,..,0.162712971,94.86210128,90.90113254,97.34477063,89.04658957,31.3,0,94.41200256,5.587999821,Medium
132,Portugal,2016,PRT,100,16113.1282,53.93722886,10.2,1802.774292,1.36,32.69172996,46.36733699,22533.63229,19930,70.42356709,0.010469855,99.90618404,99.73877609,100,99.44502978,13.5,3180.296611,13.39299965,86.60700226,High
128,Paraguay,2016,PRY,98.4,4383.639178,56.45071306,13.7,360.5451965,2.479,3.639195311,5.170575662,5089.61202,5390,53.40412748,0.358410342,98.56574807,97.01580434,99.55561316,93.65752154,25.7,61.67127382,45.22000122,54.77999878,Medium
133,Qatar,2016,QAT,100,45066.49774,17.10662967,5.2,1800.474365,1.907,9.558487237,17.59917781,64303.18636,64010,95.12466217,0.020392763,99.62980166,..,..,..,26.3,362.7974053,0.38499999,99.61499786,High
134,Romania,2016,ROU,100,7593.084593,48.91079728,4.2,476.2435608,1.69,22.47896512,20.76147115,10236.86217,9530,59.50395129,0.030217846,100,100,100,95.11437176,26.8,3421.473154,24.99500084,75.00499725,High
135,Russian Federation,2016,RUS,100,7010.879684,45.29578773,4.8,469.1309204,1.762,18.94519321,22.21753909,11298.48374,9750,73.09143462,0.032981337,96.96095058,92.13532274,98.64202117,94.69589703,25.7,1163.947701,6.359000206,93.64099884,Medium
136,Rwanda,2016,RWA,29.37,567.049081,75.71494011,42.4,48.09704208,4.123,0.186145531,0.114861588,754.2357159,720,20,1.131759903,56.9816187,51.93117927,81.54211067,52.65249937,36.2,12.76907395,78.20899963,21.79100037,Medium
139,Saudi Arabia,2016,SAU,100,16358.02942,40.11687516,10.6,1166.081299,2.435,19.71905451,13.06511605,21270.46772,21610,74.87927469,0.043625288,99.86361215,..,..,..,37.8,106.0951641,1.358999968,98.64099884,Medium
155,Sudan,2016,SDN,52.87844467,1942.133874,80.75871552,35.2,165.9369965,4.532,0.06619246,0.342486251,1911.025651,2130,14.09999994,1.41229885,60.21588504,53.19902707,73.76365956,60.14022363,57.2,1.262871576,66.40499878,33.59500122,Low
140,Senegal,2016,SEN,64.5,1074.601014,86.71606733,45.7,52.60420609,4.77,0.655970089,1.90704397,1430.362395,1270,25.66476804,1.627665839,79.46231534,68.52359879,92.15137774,64.95361319,67.9,7.069717014,73.49299622,26.50699997,Low
144,Singapore,2016,SGP,100,44362.58023,28.30010596,22.7,2489.906006,1.2,28.15711098,35.3471767,54764.86476,52520,84.45226789,0.010204088,100,..,100,100,16.9,19060.74653,9.050000191,90.94999695,High
